sum,term,name,pecentage,image,month
73000000,13,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,13,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,13,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
73000000,13,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
73000000,14,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,14,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,14,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
73000000,14,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
73000000,15,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,816 016 ₽/мес
73000000,15,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,862 082 ₽/мес
73000000,15,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,592 604 ₽/мес
73000000,15,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,825 137 ₽/мес
73000000,16,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,16,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,16,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
73000000,16,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
73000000,17,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,17,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
73000000,17,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
73000000,17,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
73000000,3,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,2 379 568 ₽/мес
